company_name,company_number,category,website
Еврорем-омск,+7 (908) 806-74-71,Ремонт и отделка,https://www.evrorem-omsk.ru/
Суптелло-дизайн,+7 (903) 927-16-17,Проектные организации,http://www.suptello-design.ru/
Domus,+7 (903) 983-00-09,Архитектурные бюро,http://www.domus-studio.com/
Люкс Декор,+7 (913) 153-88-89,Дизайн интерьеров,[]
Арнольдыч и Ко,+7 (999) 330-30-90,Ремонт и отделка,[]
Контраст-Строй,+7 (913) 628-77-67,Ремонт и отделка,https://kontrast-stroy.ru/
Full House,+7 (922) 959-00-00,Дизайн интерьеров,https://fhouse.biz/
Интерьер дизайн декор,+7 (913) 961-05-93,Студии дизайна,[]
TehnoMir,+7 (900) 675-75-33,Напольные покрытия,https://design-omsk.ru/
Инновация,+7 (913) 140-00-55,Дизайн интерьеров,[]
A studio design,+7 (913) 141-91-80,Инженерные системы,http://asd55.ru/
Ledservice,+7 (909) 728-52-62,Светотехника,http://ledservice.org/
Мобильере,+7 (913) 960-19-19,Мебель на заказ,[]
Дизайн студия А4,+7 (913) 613-93-68,Дизайн интерьеров,[]
Цветы искусственные,+7 (950) 781-31-81,Искусственные растения,[]
Горизонталь,+7 (913) 617-26-54,Ремонт и отделка,[]
Ремонт-ST,+7 (913) 677-91-47,Ремонт и отделка,[]
Уютстройкомплекс,+7 (908) 798-68-52,Ремонт и отделка,[]
Вилладжио,+7 (913) 633-94-46,Мебель для кухни,http://villajio.ru/
Зоомаркет,+7 (913) 635-44-43,Зоомагазины,https://zoomagazin-55.ru/
Корма55,+7 (913) 638-20-91,Зоомагазины,http://www.korma55.ru/
ZooZoo,+7 (900) 678-01-31,Зоомагазины,http://www.zoozoo55.ru/
Хвостики,+7 (950) 796-48-70,Зоомагазины,http://hvostiki55.vsite.top/
Ушастый пилот 55,+7 (913) 988-98-00,Зоомагазины,https://u-pilot.ru/
Zooмагазин,+7 (904) 821-13-00,Зоомагазины,[]
Petshop.ru,+7 (968) 100-45-15,Зоомагазины,https://www.petshop.ru/
ЗвероСити,+7 (913) 147-53-90,Зоомагазины,[]
Мохнатые лапки,+7 (965) 989-49-84,Зоомагазины,[]
Зоомагазин,+7 (908) 792-36-09,Зоомагазины,[]
Дельфин,+7 (950) 213-46-16,Аквариумы,https://vk.link/delfynzoo
Зоомагазин,+7 (908) 106-38-71,Зоомагазины,http://zoomagazin55.ru/
Зоомагазин,+7 (951) 429-74-21,Зоомагазины,[]
Мяу-Гав,+7 (923) 672-74-52,Зоомагазины,[]
ЗооВетмир,+7 (904) 829-92-02,Ветаптеки,http://www.ozvm.ru/
Фимка,+7 (923) 760-80-74,Зоомагазины,[]
Зооландия,+7 (908) 108-12-31,Зоомагазины,[]
Усатый питомец,+7 (962) 048-44-09,Зоомагазины,[]
Сытый ёж,+7 (923) 765-98-48,Зоомагазины,[]
Любимчик,+7 (908) 799-29-69,Зоомагазины,[]
Зоомагазин,+7 (962) 038-73-87,Зоомагазины,[]
FreshDog,+7 (904) 322-05-85,Зоомагазины,http://taplink.cc/freshdog55
Petshop.ru,+7 (965) 978-57-76,Зоомагазины,https://www.petshop.ru/
Лапки-царапки,+7 (923) 690-66-71,Зоомагазины,[]
Магазин зоотоваров,+7 (904) 328-66-84,Зоомагазины,[]
ЗооЛавка,+7 (951) 427-81-81,Зоомагазины,[]
Зоотовары,+7 (983) 624-64-96,Зоомагазины,https://www.korma55.ru/
Альфа,+7 (905) 921-40-56,Зоомагазины,[]
Мусики Пусики,+7 (950) 332-19-03,Зоомагазины,[]
Зверосити,+7 (913) 656-31-21,Зоомагазины,[]
Зоотовары,+7 (904) 585-82-66,Зоомагазины,[]
Либерти,+7 (913) 652-20-72,Зоосалоны,https://liberti-grumsalon.easyweek.ru/?ref=instagram9щд
Зоотовары,+7 (923) 671-68-88,Зоомагазины,[]
КотиК,+7 (908) 798-99-26,Зоомагазины,[]
Спорт-Дог,+7 (908) 104-19-07,Зоомагазины,https://vk.link/sportdog55
Кормушка,+7 (913) 961-29-35,Зоомагазины,[]
Хатико,+7 (960) 998-40-43,Зоомагазины,[]
ЗверьЕст,+7 (995) 848-86-78,Зоомагазины,http://zveriest.ru/
Зоотовары,+7 (904) 586-33-49,Зоомагазины,[]
Pitosha.ru,+7 (904) 328-03-26,Зоомагазины,https://pitosha.ru/
Зоомагазин,+7 (904) 076-19-26,Аквариумы,https://omskinf.ru/dir/265/1/
Зоотовары,+7 (908) 800-65-75,Зоомагазины,[]
Зоомагазин,+7 (950) 794-48-95,Зоомагазины,[]
ХвостУшки,+7 (913) 600-14-31,Зоомагазины,[]
Магазин зоотоваров,+7 (950) 334-36-37,Зоомагазины,[]
Лемурчик,+7 (996) 395-80-21,Зоомагазины,[]
Acari Ciar,+7 (913) 670-23-75,Зоомагазины,http://acariciarecocorm.ru/
Магазин зоотоваров,+7 (962) 041-85-40,Зоомагазины,[]
Фешен Дог,+7 (903) 927-78-67,Зоосалоны,http://www.lapashop.ru/
Джу и его Друзья! Омск,+7 (960) 982-08-73,Зоомагазины,[]
ВетАптека,+7 (950) 210-24-55,Ветаптеки,http://www.vetomsk.ru/
Медуза,+7 (950) 952-54-83,Зоомагазины,[]
Zooroom,+7 (913) 642-69-95,Зоомагазины,[]
Petshop.ru,+7 (965) 978-57-67,Зоомагазины,https://www.petshop.ru/
Аквасалон,+7 (904) 327-26-43,Аквариумы,[]
МяуХаус,+7 (983) 113-26-26,Зоомагазины,http://55zoo.ru/
Живая планета,+7 (905) 098-35-53,Аквариумы,[]
Усатый друг,+7 (950) 791-24-16,Зоомагазины,[]
Сибарис,+7 (965) 989-38-82,Зоомагазины,http://zhivkus.ru/
Зоомагазин,+7 (953) 398-85-74,Зоомагазины,[]
Вольеры и Будки,+7 (950) 783-72-51,Зоомагазины,[]
Алиса,+7 (950) 215-85-79,Зоомагазины,[]
Зверосити,+7 (913) 622-76-69,Зоомагазины,[]
Дружок,+7 (904) 582-82-86,Зоомагазины,[]
Pet Style,+7 (905) 921-61-14,Зоосалоны,[]
Магазин зоотоваров,+7 (913) 964-99-93,Зоомагазины,[]
Медуза,+7 (904) 074-11-43,Зоомагазины,[]
Сами с усами,+7 (950) 797-58-18,Ветаптеки,[]
Зоотовары,+7 (904) 326-82-50,Зоомагазины,[]
Зверосити,+7 (913) 630-38-83,Зоомагазины,[]
Золотая рыбка,+7 (900) 675-67-35,Аквариумы,[]
Нестле Пурина,+7 (913) 963-99-67,Зоотовары оптом,http://www.purina.ru/
Sharlotta,+7 (923) 686-85-00,Зоосалоны,[]
Мур-амур,+7 (908) 796-66-84,Зоомагазины,[]
Рыбалка,+7 (913) 611-33-00,Зоомагазины,[]
S&p Aqua,+7 (950) 781-00-32,Аквариумы,[]
Аквариумистика,+7 (962) 036-37-47,Аквариумы,[]
Автомат по продаже корма для белок,+7 (923) 157-37-27,Комбикорма,[]
Корма для животных,+7 (908) 311-87-04,Комбикорма,[]
Shop Da Anna,+7 (908) 111-78-84,Шоу-румы,http://shopdaanna.ru/
Сокол,+7 (950) 794-70-40,Магазины продуктов,[]
Продукты Ермолино,+7 (920) 880-02-12,Магазины продуктов,https://www.ermolino-produkty.ru/
Ярче!,+7 (3822) 70-67-50,Супермаркеты,http://ярче.рф/
Граф Рыбин-Икра красная,+7 (962) 058-49-49,Рыбы и морепродукты,http://ikra55.ru/
Выгодный,+7 (913) 602-29-12,Магазины продуктов,[]
Рыбный мир 55,+7 (913) 672-55-80,Рыбы и морепродукты,https://moretorg55.ru/
Мини-Маркет,+7 (965) 974-11-11,Магазины продуктов,[]
Амбаръ,+7 (950) 783-41-59,Магазины продуктов,[]
Рыбный мир 55,+7 (913) 972-28-97,Рыбы и морепродукты,https://moretorg55.ru/
Рыбный мир 55,+7 (913) 961-58-82,Рыбы и морепродукты,https://moretorg55.ru/
Агромир,+7 (913) 610-08-32,Яйцо и птица,http://agromir.land/
Агромир,+7 (913) 140-30-84,Мясные магазины,http://agromir.land/
Агромир,+7 (913) 140-19-89,Яйцо и птица,http://agromir.land/
ShopDaAnna,+7 (923) 825-28-40,Шоу-румы,https://www.shopdaanna.ru/
Продукты,+7 (950) 333-98-27,Магазины продуктов,[]
Продукты,+7 (950) 211-12-12,Магазины продуктов,[]
Рыбный мир 55,+7 (913) 648-77-64,Рыбы и морепродукты,https://moretorg55.ru/
Продукты,+7 (908) 315-34-70,Магазины продуктов,[]
Продукты,+7 (908) 310-91-93,Магазины продуктов,[]
Продукты,+7 (905) 940-61-12,Магазины продуктов,[]
Продукты,+7 (950) 957-32-57,Магазины продуктов,[]
Рыбный Гурман,+7 (965) 875-32-00,Рыбы и морепродукты,[]
Дом Солнца,+7 (960) 990-90-50,Магазины продуктов,http://domsolnca55.ru/
Омский мяском,+7 (950) 785-54-95,Мясные магазины,http://sibkolbasy.ru/
Рост'Ок,+7 (913) 684-10-31,Овощные магазины,[]
Дары Армении,+7 (908) 101-49-05,Магазины продуктов,[]
Фише,+7 (923) 687-20-72,Рыбы и морепродукты,http://www.fishe.ru/
Фабрика орехов,+7 (950) 780-63-54,Магазины продуктов,[]
Белорусские продукты,+7 (913) 960-51-84,Супермаркеты,http://belfirmomsk.ru/
Рыбный мир 55,+7 (913) 687-33-17,Рыбы и морепродукты,https://moretorg55.ru/
Emilimon,+7 (961) 884-10-14,Овощные магазины,[]
Рыбный магазин,+7 (950) 784-25-64,Рыбы и морепродукты,[]
Рыбный мир 55,+7 (913) 671-17-86,Рыбы и морепродукты,https://moretorg55.ru/
Иванновские раки,+7 (951) 424-70-54,Рыбы и морепродукты,http://raki-omsk.ru/
Рыбный мир 55,+7 (913) 972-28-96,Рыбы и морепродукты,https://moretorg55.ru/
Овощи и фрукты,+7 (953) 394-98-38,Овощные магазины,[]
Мясорубка,+7 (904) 825-05-17,Мясные магазины,[]
Рыбный мир 55,+7 (913) 680-74-58,Рыбы и морепродукты,https://moretorg55.ru/
Империя рыбы,+7 (953) 395-03-51,Рыбы и морепродукты,https://empirefish.uds.app/
Продукты,+7 (908) 318-59-69,Магазины продуктов,[]
Восточный,+7 (962) 059-89-75,Магазины продуктов,[]
Фруктовая сказка,+7 (908) 802-98-40,Овощные магазины,[]
Зарнигор центр,+7 (905) 097-32-12,Овощные магазины,[]
Овощи фрукты,+7 (908) 804-46-26,Овощные магазины,[]
Мясорубка,+7 (913) 154-46-74,Мясные магазины,[]
Рыбный мир 55,+7 (983) 115-02-01,Рыбы и морепродукты,https://moretorg55.ru/
Минимаркет,+7 (908) 318-97-04,Магазины продуктов,[]
Кормилец,+7 (961) 880-04-50,Магазины продуктов,[]
Продовольственный киоск,+7 (962) 036-94-22,Магазины продуктов,[]
Фермерские продукты,+7 (908) 114-87-27,Магазины продуктов,[]
Рыбный мир 55,+7 (913) 979-73-27,Рыбы и морепродукты,https://moretorg55.ru/
Магазин № 7,+7 (904) 326-88-78,Магазины продуктов,[]
Сладонеж,+7 (953) 396-21-78,Магазины продуктов,https://sladonezh.ru/
Фрукты и овощи,+7 (953) 390-55-97,Овощные магазины,[]
Овощи-Фрукты,+7 (908) 317-68-46,Овощные магазины,[]
Рыбный мир 55,+7 (913) 972-50-14,Рыбы и морепродукты,https://moretorg55.ru/
Milko маркет,+7 (913) 677-66-66,Молочные магазины,[]
Агромир,+7 (923) 698-56-17,Мясные магазины,http://agromir.land/
Магазин фруктов и овощей,+7 (953) 395-11-44,Овощные магазины,[]
Красное&Белое,+7 (923) 035-70-93,Алкогольные напитки,[]
Молочный магазин,+7 (960) 986-55-10,Молочные магазины,[]
Радость,+7 (904) 820-52-06,Магазины продуктов,[]
Белорусский фирменный,+7 (983) 622-85-56,Магазины продуктов,[]
Овощи фрукты,+7 (950) 217-33-44,Овощные магазины,[]
Хлебодар,+7 (983) 562-34-96,Пекарни,https://www.hlebodar.ru/
20/16,+7 (965) 977-68-21,Магазины продуктов,[]
Культура,+7 (950) 956-83-90,Кальян-бары,https://kulturaomsk.wixsite.com/kulturaomsk
Мята Lounge,+7 (913) 605-20-07,Кальян-бары,http://myata55.ru/
Freedom,+7 (908) 110-88-02,Кальян-бары,[]
Aroma Room,+7 (905) 096-40-01,Кальян-бары,[]
Granat,+7 (951) 400-00-08,Кальян-бары,[]
Пышные Усы,+7 (913) 159-04-91,Кальян-бары,[]
Saray 2.0,+7 (968) 100-85-98,Кальян-бары,[]
Panda,+7 (908) 808-60-00,Кальян-бары,[]
Ambar,+7 (913) 643-20-66,Кальян-бары,[]
The Дым,+7 (996) 074-40-34,Кальян-бары,https://thedym.taplink.ws/
Прохлада,+7 (951) 423-42-41,Кафе,[]
Menthol,+7 (961) 881-11-13,Рестораны,http://menthol-lounge.ru/
Vhod,+7 (965) 870-27-77,Кальян-бары,[]
Матрена,+7 (923) 679-42-20,Кальян-бары,[]
Текстура,+7 (929) 369-98-89,Кальян-бары,[]
АСД Лаунж,+7 (995) 771-93-73,Кальян-бары,[]
M. A. D. S.,+7 (950) 780-66-82,"Бары, пабы",[]
Smoky Hall,+7 (923) 760-36-99,Кальян-бары,[]
Давай Покрепче,+7 (950) 954-46-64,Кальян-бары,http://omsk.davaipokrepche.ru/khimikov
ELGrande lounge,+7 (929) 301-41-90,Кальян-бары,[]
Выдыхай,+7 (923) 773-94-38,Кальян-бары,[]
Milton,+7 (933) 302-03-63,Кальян-бары,[]
Neon,+7 (951) 420-97-39,Кальян-бары,[]
Lounge Dante,+7 (933) 183-30-50,Кальян-бары,[]
Og hookah lounge & game zone,+7 (913) 600-01-13,Кальян-бары,[]
Релакс зон,+7 (913) 653-67-33,Кальян-бары,[]
Елка Loudge,+7 (913) 149-79-97,Кальян-бары,[]
Tor Lounge,+7 (913) 632-04-44,Кальян-бары,[]
Karbonization Lounge,+7 (965) 974-44-44,Кальян-бары,[]
Лайм лаундж,+7 (901) 206-23-78,Кальян-бары,[]
Дели лаундж,+7 (923) 765-11-30,Кальян-бары,[]
Веранда box,+7 (929) 365-40-55,Кальян-бары,[]
El Grande,+7 (904) 070-76-04,Кальян-бары,[]
Purple Bar,+7 (913) 663-57-32,Кальян-бары,[]
Чайный переулок,+7 (960) 990-77-36,Кальян-бары,[]
20 Грамм,+7 (900) 676-03-08,Кальян-бары,[]
АСД Лаунж,+7 (913) 673-70-30,Кальян-бары,[]
Где же кролик,+7 (903) 927-46-28,Рестораны,http://krolik-omsk.ru/
Орзу,+7 (904) 076-35-65,Кафе,http://orzu55.ru/
Тианети,+7 (950) 335-91-91,Кафе,[]
У Вартана,+7 (950) 792-22-00,Кафе,https://увартана.рф/
Govinda,+7 (913) 148-96-63,Кафе,http://www.govindacafe.ru/
Дворик,+7 (913) 678-18-88,Рестораны,http://dvorikwine.ru/
Бобы,+7 (903) 927-43-41,Кофейни,[]
Traveler's Coffee,+7 (913) 626-00-77,Кофейни,https://travelerscoffee-omsk.ru/
Поке бар,+7 (903) 927-57-70,Кафе,http://pokestan.ru/
Фудмаркет Гараж,+7 (962) 056-03-70,Кафе,https://garage-foodmarket.ru/
Амурский дворик,+7 (950) 955-11-61,Кафе,[]
Чайхана,+7 (906) 197-15-55,Кафе,[]
Нинь хао,+7 (965) 982-56-66,Рестораны,[]
Чайхана у Исраила,+7 (913) 663-82-88,Кафе,[]
Traveler's Coffee,+7 (913) 627-07-77,Кофейни,http://travelerscoffee-omsk.ru/
Skuratov Coffee,+7 (962) 058-65-85,Кофейни,https://skuratovcoffee.ru/
Лори,+7 (962) 052-52-38,Кафе,[]
Пиццот Osteria,+7 (933) 440-95-00,Рестораны,[]
Шашлычный рай,+7 (908) 804-05-24,Кафе,[]
Камелот,+7 (962) 058-38-02,Рестораны,https://www.kamelotdk.com/
С Комплиментом,+7 (983) 116-97-99,Кафе,https://taplink.cc/skomplimentom
Gussi,+7 (968) 100-71-11,Кофейни,https://gussi.su/
Вьетнамская кухня,+7 (999) 453-09-82,Кафе,[]
Ника,+7 (908) 108-03-03,Рестораны,https://nikarest.ru/
Кофе Брейк,+7 (913) 636-09-94,Кафе,[]
Traveler's Coffee,+7 (913) 640-07-77,Кофейни,http://travelerscoffee-omsk.ru/
Омск. Кофе. Провожаем,+7 (939) 828-20-24,Кофейни,https://tort55.ru/
У друзей,+7 (913) 988-20-02,Кафе,[]
Городское Бистро,+7 (913) 618-08-08,Кафе,[]
Лагманная,+7 (923) 674-29-77,Кафе,[]
Город Мастеров Вадима Батурина,+7 (908) 116-31-39,Кафе,[]
Nana Pirveli,+7 (962) 058-58-00,Рестораны,https://nana.zarya.rest/
Torta,+7 (929) 364-46-12,Кафе,[]
Джованни,+7 (953) 397-11-55,Кафе,http://giovannirest.ru/
Курочка рядом,+7 (923) 681-80-04,Быстрое питание,[]
Bon Appetit,+7 (908) 312-05-74,Кафе,https://taplink.cc/bankett_omsk
Терра,+7 (950) 335-03-61,Кофейни,[]
ОШ,+7 (913) 676-46-46,Кафе,[]
Iveria,+7 (913) 988-57-00,Быстрое питание,https://vk.link/sg.shaurma
Шашлычный рай,+7 (900) 677-10-16,Быстрое питание,[]
Краснодарский парень,+7 (913) 618-25-25,Быстрое питание,[]
Мастер Мяса,+7 (950) 210-21-26,Кафе,[]
Аларро,+7 (900) 673-57-58,Кафе,[]
Buffet,+7 (904) 320-46-63,Кафе,[]
Dымnoff,+7 (929) 363-48-01,Кафе,[]
Cafe de Paris,+7 (923) 687-01-02,Кафе,[]
Вьетнамская кухня,+7 (996) 398-16-70,Кафе,[]
Skuratov Coffee,+7 (923) 035-13-30,Кофейни,https://skuratovcoffee.ru/
Париж,+7 (913) 635-42-29,Кафе,[]
Амкейк,+7 (960) 993-30-02,Кофейни,http://amcakecoffee.tilda.ws/links
Don Doner,+7 (913) 656-45-45,Кафе,[]
Cronwell Ника центр,+7 (962) 036-03-03,Рестораны,[]
Skuratov Coffee,+7 (923) 671-78-14,Кофейни,https://skuratovcoffee.ru/
Skuratov Coffee,+7 (923) 035-48-09,Кофейни,https://skuratovcoffee.ru/
Домашняя кухня,+7 (933) 993-24-04,Кафе,[]
Bikes & Coffee,+7 (965) 987-78-88,Кофейни,[]
Сегун,+7 (904) 582-82-54,Магазины суши и роллов,[]
Skuratov Coffee,+7 (929) 301-42-40,Кофейни,https://skuratovcoffee.ru/
ТРУ Кейк,+7 (913) 679-11-59,Кондитерские,https://true-cake.ru/
Skuratov Coffee,+7 (923) 035-16-85,Кофейни,https://skuratovcoffee.ru/
Burrito & Pelmen,+7 (923) 671-26-35,Кафе,[]
Vaffel,+7 (953) 394-09-59,Кофейни,https://vaffel.ru/
Блэкдорс Купе,+7 (904) 324-11-01,Караоке-клубы,https://blackdoors.info/
Люклер,+7 (950) 334-33-53,Кондитерские,https://lukler.ru/
Кафе,+7 (904) 329-75-22,Кафе,[]
Шашлычная № 1,+7 (913) 618-91-32,Кафе,[]
Coffee Way,+7 (908) 800-93-66,Кофейни,https://coffeeway.ru/
Шашлык-машлык,+7 (965) 876-67-66,Быстрое питание,[]
Do.Bro Coffee,+7 (995) 848-43-35,Кофейни,https://dobro-coffee.com/
Ow,+7 (904) 322-00-88,Кафе,[]
Amores Coffee,+7 (909) 883-35-84,Кулинарии,[]
Пончик,+7 (913) 642-15-60,Кофейни,[]
Бистро рецепт,+7 (923) 767-74-45,Пекарни,http://bistrorezept.ru/
Шашлык у Геворга,+7 (950) 797-69-67,Быстрое питание,[]
Домашняя кухня,+7 (913) 628-41-47,Столовые,[]
Шаурма на углях,+7 (950) 956-89-20,Быстрое питание,[]
У Михалыча,+7 (913) 662-86-86,Быстрое питание,[]
Пицца на Дергачева,+7 (962) 052-66-66,Быстрое питание,[]
ЛанчБокс,+7 (995) 355-10-55,Доставка еды,https://vk.link/lunchbox_55
Артель,+7 (913) 651-99-09,Быстрое питание,[]
City coffee,+7 (950) 338-77-74,Кофейни,[]
Кафе,+7 (951) 403-55-40,Кафе,[]
Hot Good,+7 (995) 931-71-07,Быстрое питание,[]
Высокий градус,+7 (995) 520-03-16,Кафе,[]
Export Coffee,+7 (999) 453-86-16,Кофейни,[]
Пряно-Румяно,+7 (960) 989-06-75,Кондитерские,https://tort55.ru/
Сова,+7 (999) 458-94-15,Магазины продуктов,[]
Блин Клинтон,+7 (908) 311-08-68,Быстрое питание,[]
Курочка рядом,+7 (991) 017-68-30,Быстрое питание,[]
Coffee House,+7 (951) 416-75-51,Магазины кофе,[]
Пицца Кат,+7 (950) 958-04-22,Доставка еды,http://omsk.likepizzacut.com/
Пловная,+7 (906) 991-12-49,Кафе,[]
Sofanncake,+7 (900) 674-44-78,Кафе,[]
Samsa House № 1,+7 (996) 074-83-84,Быстрое питание,[]
Турецкие блюда,+7 (929) 369-71-11,Быстрое питание,[]
Coffee Plus,+7 (8182) 43-17-20,Кофейни,https://кофеплюс.рф/o-kompanii/
Логин'ов,+7 (913) 677-51-15,Доставка еды,http://edalogin.ru/
Охлажденные напитки,+7 (961) 881-97-66,Кафе,[]
Сытный уголок,+7 (913) 632-53-80,Столовые,[]
Surovcoffee,+7 (950) 955-41-44,Кофейни,[]
Станция кофейная,+7 (950) 786-41-10,Кофейни,[]
Пицца Милано,+7 (903) 927-74-76,Пиццерии,http://pizzamilano55.ru/
Pizza,+7 (951) 404-30-69,Пиццерии,[]
Сайгон,+7 (913) 650-53-53,Кафе,[]
Высокий Градус,+7 (923) 047-43-19,"Бары, пабы",[]
CoffeeiN,+7 (908) 319-17-27,Кофейни,[]
Illuzionquest,+7 (900) 679-18-38,Квесты,https://illuzion-quest.ru/
Квест Эволюция,+7 (913) 616-97-75,Квесты,http://quest55.ru/
Комната 2.0,+7 (929) 363-20-76,Квесты,http://komnata20.ru/
Imperia Quest,+7 (913) 611-72-00,Квесты,[]
Квесторан,+7 (904) 327-05-51,Квесты,http://kvestoran.ru/
Диего квест,+7 (995) 127-69-59,Детские праздники,https://diegoquest.ru/
Igel,+7 (913) 628-10-40,Квесты,https://i-kvest.com/
Illuzionquest,+7 (909) 536-63-83,Квесты,https://illuzion-quest.ru/
Окей Квест,+7 (965) 988-57-38,Квесты,http://okquest.ru/
MegaMozg,+7 (900) 677-77-82,Квесты,[]
Охота в темноте,+7 (913) 143-73-00,Квесты,http://omsk.ohotavtemnote.ru/
Золото Аляски,+7 (950) 216-48-46,Квесты,https://alaskagold.ru/
Fort Entertainment,+7 (39198) 6-02-76,Квесты,https://fb-omsk.ru/?utm_medium=main&utm_source=yandex_maps
Оля-ля,+7 (960) 996-44-12,Квесты,http://kvest.olya-la.ru/
Show Today,+7 (904) 321-64-64,Организация мероприятий,https://showtoday.ru/
Квест-Реставрация,+7 (913) 605-44-71,Квесты,[]
Форт-Боярд на Тарской,+7 (953) 394-44-33,Квесты,http://fort-boyard-omsk.ru/
Slomi Меня,+7 (950) 958-20-71,Квесты,[]
Оляля,+7 (962) 058-89-33,Детские праздники,http://olya-la.ru/
Логово страха,+7 (913) 602-10-61,Квесты,[]
Alliance Quest,+7 (904) 823-43-62,Квесты,[]
Реалити Кофе,+7 (900) 676-71-77,Квесты,[]
Ананас PartyRoom,+7 (933) 444-14-35,Квесты,[]
Ананас PartyRoom,+7 (933) 993-90-33,Квесты,[]
Vr-sky,+7 (960) 990-50-20,Клубы виртуальной реальности,https://vr-sky.ru/
Школа магии,+7 (913) 978-51-46,Детские праздники,[]
Party Time,+7 (950) 211-74-04,Детские праздники,http://lip.show-partytime.ru/
Club Space,+7 (933) 302-01-02,Лазертаг,[]
Enot_House,+7 (929) 362-64-20,Антикафе,[]
Mafia VIP,+7 (983) 111-07-44,Интеллектуальные игры,[]
Эталон,+7 (908) 106-34-06,Клининг,[]
Сияние,+7 (906) 991-09-04,Клининг,http://omsk-sianie.ru/
Мамочки,+7 (913) 158-48-74,Клининг,[]
КлинКинг,+7 (904) 322-02-58,Клининг,[]
Компания по химчистке мягкой мебели и ковров Служба-чистоты,+7 (908) 795-33-33,Клининг,http://clean55.ru/
ЕС-клининг,+7 (913) 629-22-06,Клининг,[]
Империя блеска,+7 (951) 410-00-11,Клининг,http://imperiyableska.ru/
Клининг24,+7 (999) 455-85-68,Клининг,https://cleaning24-omsk.ru/
AQUAрель,+7 (495) 136-81-80,Клининг,https://aquarel.pro/
Абель-сервис,+7 (495) 995-82-91,Клининг,http://abeille-s.ru/
Винклин,+7 (962) 055-28-01,Химчистки,https://winclean-omsk.ru/
Mr. Cleaner55,+7 (968) 100-86-69,Клининг,[]
Домовёнок,+7 (908) 118-66-97,Клининг,https://домовенок-омск.рф/
УКБ-клининг,+7 (951) 428-30-85,Клининг,[]
АлтайКлининг,+7 (905) 923-85-88,Клининг,[]
Чистый Мир,+7 (950) 332-15-45,Клининг,[]
Символ порядка,+7 (995) 771-98-50,Клининг,https://омск.честный-клининг.рф/
Арт-Клининг,+7 (913) 156-77-22,Клининг,http://art-cleaninge-nsk.ru/
КлинингPRO,+7 (908) 808-10-84,Клининг,[]
Мастер клининг,+7 (908) 317-93-54,Клининг,https://mklining.ru/
Cleans_Pro,+7 (950) 334-04-39,Химчистки,[]
Проф Клининг,+7 (933) 991-88-85,Клининг,[]
Шик и Блеск,+7 (995) 849-99-66,Клининг,[]
Летакрис,+7 (962) 039-02-95,Клининг,[]
Чисто и точка,+7 (906) 993-30-08 (доб. 89955155633),Клининг,[]
Атлан,+7 (908) 792-33-77,Клининг,[]
Кондор,+7 (904) 075-61-58,Клининг,[]
Свип-сервис,+7 (950) 814-53-75,Клининг,[]
Ap,+7 (939) 827-82-58,Клининг,[]
КовроЧистка,+7 (950) 216-29-02,Химчистки,[]
Новая жизнь,+7 (962) 045-97-74,Дезцентры,[]
ДезДом Сервис,+7 (923) 670-56-77,Дезцентры,[]
Золушка-сервис,+7 (913) 153-30-64,Клининг,[]
Skuratov Coffee,+7 (923) 036-07-72,Кофейни,https://skuratovcoffee.ru/
Азбука кофе,+7 (913) 686-98-06,Кофейни,[]
Миндаль,+7 (962) 032-78-92,Кондитерские,[]
Sant,+7 (913) 651-94-42,Кофейни,http://santmenu.tilda.ws/
Skuratov Coffee,+7 (929) 301-42-41,Кофейни,https://skuratovcoffee.ru/
Skuratov Coffee,+7 (923) 035-11-68,Кофейни,https://skuratovcoffee.ru/
Зёрна,+7 (913) 606-91-21,Кофейни,[]
Julicake,+7 (991) 430-18-95,Кофейни,[]
Edison Coffee,+7 (983) 627-41-32,Кофейни,http://edisoncoffee.tilda.ws/
Skuratov Coffee,+7 (923) 047-03-63,Кофейни,https://skuratovcoffee.ru/
Птичка,+7 (913) 155-08-05,Кондитерские,https://vk.link/irina_golovina_konditer
Amcake,+7 (913) 673-70-60,Кофейни,https://amcakecoffee.tilda.ws/links
Эклер,+7 (951) 406-55-55,Кондитерские,[]
Фолькс,+7 (999) 459-55-05,Кофе с собой,http://taplink.ru/folks_coffeebar
Tea Funny,+7 (914) 333-17-27,Безалкогольные бары,https://teafunny.ru/
Coffee Trdelnik,+7 (913) 670-59-86,Кофейни,[]
CoffeGrad,+7 (951) 417-90-26,Кофейни,[]
Double Bubble Tea,+7 (913) 683-70-08,Безалкогольные бары,[]
Take and Wake Coffee Co,+7 (919) 232-23-17,Кофейни,https://takeandwake.ru/
Berry Coffee,+7 (999) 455-46-88,Кофе с собой,[]
City Coffe,+7 (904) 826-05-58,Кофейни,[]
Пончики от Глеба,+7 (913) 601-25-01,Быстрое питание,[]
Trimkris,+7 (913) 669-43-92,Пекарни,[]
Бублик & рогалик,+7 (905) 921-70-97,Кофейни,[]
Hroomz coffee,+7 (922) 028-45-47,Кофейные автоматы,http://hroomz.ru/
Печка,+7 (913) 143-00-77,Пекарни,[]
Coffer Store,+7 (951) 419-65-28,Кофейни,[]
Simple Coffee,+7 (999) 455-63-77,Кофейни,[]
Maxcoffe,+7 (923) 699-68-67,Кофейни,[]
Кофе точка,+7 (913) 143-49-11,Кофе с собой,[]
